
0	85	60	62	78	79	208	73	190	30	254	160	253	173	127	98	102	190	42	111	242	137	58	228	66	216	43	162	230	212	27	172
85	0	131	43	149	30	139	144	121	73	185	91	184	104	58	29	33	121	113	42	173	68	51	159	137	147	64	93	161	143	98	103
60	131	0	108	46	125	254	41	236	76	300	206	299	219	173	144	148	236	38	157	288	183	104	274	34	262	89	208	276	258	43	218
62	43	108	0	126	37	166	121	148	50	212	118	211	131	85	56	60	148	90	69	200	95	28	186	114	174	41	120	188	170	75	130
78	149	46	126	0	143	272	25	254	94	318	224	317	237	191	162	166	254	56	175	306	201	122	292	42	280	107	226	294	276	61	236
79	30	125	37	143	0	153	138	135	67	199	105	198	118	72	43	47	135	107	56	187	82	45	173	131	161	58	107	175	157	92	117
208	139	254	166	272	153	0	267	40	196	76	76	75	47	103	132	122	30	236	115	64	83	174	50	260	38	187	58	52	34	221	58
73	144	41	121	25	138	267	0	249	89	313	219	312	232	186	157	161	249	51	170	301	196	117	287	37	275	102	221	289	271	56	231
190	121	236	148	254	135	40	249	0	178	86	58	85	29	85	114	104	22	218	97	74	65	156	60	242	48	169	40	62	44	203	40
30	73	76	50	94	67	196	89	178	0	242	148	241	161	115	86	90	178	58	99	230	125	46	216	82	204	31	150	218	200	43	160
254	185	300	212	318	199	76	313	86	242	0	122	21	93	149	178	168	76	282	161	30	129	220	48	306	52	233	104	36	58	267	104
160	91	206	118	224	105	76	219	58	148	122	0	121	41	55	84	74	58	188	67	110	35	126	96	212	84	139	30	98	80	173	40
253	184	299	211	317	198	75	312	85	241	21	121	0	92	148	177	167	75	281	160	29	128	219	47	305	51	232	103	35	57	266	103
173	104	219	131	237	118	47	232	29	161	93	41	92	0	68	97	87	29	201	80	81	48	139	67	225	55	152	23	69	51	186	23
127	58	173	85	191	72	103	186	85	115	149	55	148	68	0	51	41	85	155	34	137	32	93	123	179	111	106	57	125	107	140	67
98	29	144	56	162	43	132	157	114	86	178	84	177	97	51	0	26	114	126	35	166	61	64	152	150	140	77	86	154	136	111	96
102	33	148	60	166	47	122	161	104	90	168	74	167	87	41	26	0	104	130	25	156	51	68	142	154	130	81	76	144	126	115	86
190	121	236	148	254	135	30	249	22	178	76	58	75	29	85	114	104	0	218	97	64	65	156	50	242	38	169	40	52	34	203	40
42	113	38	90	56	107	236	51	218	58	282	188	281	201	155	126	130	218	0	139	270	165	86	256	44	244	71	190	258	240	25	200
111	42	157	69	175	56	115	170	97	99	161	67	160	80	34	35	25	97	139	0	149	44	77	135	163	123	90	69	137	119	124	79
242	173	288	200	306	187	64	301	74	230	30	110	29	81	137	166	156	64	270	149	0	117	208	36	294	40	221	92	24	46	255	92
137	68	183	95	201	82	83	196	65	125	129	35	128	48	32	61	51	65	165	44	117	0	103	103	189	91	116	37	105	87	150	47
58	51	104	28	122	45	174	117	156	46	220	126	219	139	93	64	68	156	86	77	208	103	0	194	110	182	37	128	196	178	71	138
228	159	274	186	292	173	50	287	60	216	48	96	47	67	123	152	142	50	256	135	36	103	194	0	280	26	207	78	24	32	241	78
66	137	34	114	42	131	260	37	242	82	306	212	305	225	179	150	154	242	44	163	294	189	110	280	0	268	95	214	282	264	49	224
216	147	262	174	280	161	38	275	48	204	52	84	51	55	111	140	130	38	244	123	40	91	182	26	268	0	195	66	28	20	229	66
43	64	89	41	107	58	187	102	169	31	233	139	232	152	106	77	81	169	71	90	221	116	37	207	95	195	0	141	209	191	56	151
162	93	208	120	226	107	58	221	40	150	104	30	103	23	57	86	76	40	190	69	92	37	128	78	214	66	141	0	80	62	175	22
230	161	276	188	294	175	52	289	62	218	36	98	35	69	125	154	144	52	258	137	24	105	196	24	282	28	209	80	0	34	243	80
212	143	258	170	276	157	34	271	44	200	58	80	57	51	107	136	126	34	240	119	46	87	178	32	264	20	191	62	34	0	225	62
27	98	43	75	61	92	221	56	203	43	267	173	266	186	140	111	115	203	25	124	255	150	71	241	49	229	56	175	243	225	0	185
172	103	218	130	236	117	58	231	40	160	104	40	103	23	67	96	86	40	200	79	92	47	138	78	224	66	151	22	80	62	185	0
